cell_name,cell_type,1250,1562,1953,2441,3052,3815,4768,5960,7451,9312,11640,14550,18188,22735,28419,35523,44304,55400,69250,86562,108203,135254,168442,200000
ITL23__695546566_stage_1_seed_2_hof_0,ITL23,22.5625,24.6875,26.8125,29.3125,31.875,34.75,38.125,41.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__695557339_stage_1_seed_1_hof_0,ITL23,39.6875,43.0625,46.1875,50.25,54.3125,58.75,63.625,68.75,74.5625,80.4375,87.5625,94.3125,101.75,109.5625,117.5625,126.1875,135.0625,145.5625,157.625,172.625,192.75,222.1875,NaN,NaN
ITL23__695557339_stage_1_seed_2_hof_0,ITL23,25.8125,27.5,29.125,31.4375,33.0625,35.3125,38.0625,41.1875,45.1875,49.625,54.4375,59.25,66.375,73.6875,81.75,92.1875,104,118.125,134.875,157.125,199.875,NaN,NaN,NaN
ITL23__707828926_stage_1_seed_1_hof_0,ITL23,31.1875,35.75,40.5,45.0625,50.1875,55.0625,59.9375,65.5625,71.1875,77.0625,82.9375,89.3125,95.6875,101.625,107.875,114.125,120.125,125.9375,131.625,138.0625,144.25,151.375,159,166.6875
ITL23__707828926_stage_1_seed_2_hof_0,ITL23,26.375,28.875,31.375,33.9375,36.5625,39.1875,41.9375,44.6875,47.625,50.625,53.75,56.625,59.6875,63,65.9375,68.8125,71.625,74.5,77.4375,79.625,82.4375,85.6875,89.3125,92.0625
ITL23__716918890_stage_1_seed_1_hof_0,ITL23,40.75,44.375,48.3125,52.4375,57.0625,61.75,66.625,72.375,78,84.1875,91,98.125,105.875,113.9375,122.375,130.9375,140.0625,149.5625,159.8125,171.1875,184.4375,201.0625,224.75,NaN
ITL23__716929071_stage_1_seed_2_hof_0,ITL23,49.1875,53.875,59.0625,64.4375,70,75.8125,81.8125,87.875,94.3125,100.625,106.375,113.0625,120,126.875,134.3125,143.25,152.5625,165.25,182.125,209.25,NaN,NaN,NaN,NaN
ITL23__720828444_stage_1_seed_2_hof_0,ITL23,21,24,26.75,29.5,32.5,35.375,38.375,41.3125,44.4375,47.5,50.8125,54.125,57.4375,60.875,64.5,67.9375,71.5,75.0625,78.625,82.0625,85.5,89.3125,93.5,96.5625
ITL23__720850977_stage_1_seed_1_hof_0,ITL23,34.625,38.25,42.0625,46.0625,50.375,54.6875,59.125,64,68.625,73.5,78.1875,83.0625,87.75,92.0625,96.4375,101,105.9375,111.4375,117.3125,121.6875,NaN,NaN,NaN,NaN
ITL23__720850977_stage_1_seed_2_hof_0,ITL23,2.1875,2.125,2.3125,2.375,2.625,2.8125,2.875,3,3.1875,3.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__720862326_stage_1_seed_1_hof_0,ITL23,53.25,69.5625,84.625,98.5625,110.8125,122.4375,134.25,145.5625,157.5625,169.8125,182.625,195.9375,210.5,226.4375,245.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__720862326_stage_1_seed_2_hof_0,ITL23,11.3125,11.875,12.5625,13.1875,13.9375,14.6875,15.5,16.5,17.25,18.5,19.9375,21.6875,23.1875,25.4375,27.5625,30.4375,33.5,36.3125,39.9375,44.125,48.4375,52.5625,57.4375,61.75
ITL23__720871158_stage_1_seed_1_hof_0,ITL23,25.8125,28.9375,32.25,35.8125,39.1875,42.75,46.4375,50.4375,54.125,58.4375,62.625,67.25,72.25,77.8125,83.5,89.625,95.875,102.1875,109.25,116.3125,123.625,131.5,140.25,147.125
ITL23__720871158_stage_1_seed_2_hof_0,ITL23,24.1875,26.75,29,31.625,34.125,36.875,39.625,42.6875,46,49.375,53.25,57.125,61.25,65.6875,70.625,75.8125,81.4375,87.5,94.25,101.6875,111.125,122.5,138.5625,154.4375
ITL23__720878801_stage_1_seed_1_hof_0,ITL23,10.125,11.5,12.875,14.1875,15.75,16.9375,18.375,19.8125,21.125,22.5,23.9375,25.3125,26.8125,27.875,29,30.5,31.8125,33.6875,35.25,37.25,39.875,42.875,46.25,46.875
ITL23__720878801_stage_1_seed_2_hof_0,ITL23,14,15.375,16.8125,18.375,20,21.625,23.375,25,26.4375,28.3125,30,31.5,33.3125,34.5625,35.9375,37.375,38.0625,40.0625,41.5625,43.9375,45.6875,46.5,NaN,NaN
ITL23__737089555_stage_1_seed_1_hof_0,ITL23,95.75,107.1875,118.6875,129.9375,142.1875,154.5,168.1875,183.25,200.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__737089555_stage_1_seed_2_hof_0,ITL23,22.5,24.5,26.8125,29.375,32.1875,35.5,39.3125,44.3125,50.625,59.4375,74.1875,99.6875,128.3125,153,176.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__737134157_stage_1_seed_1_hof_0,ITL23,6.875,7.5,8.0625,8.6875,9.3125,10,10.75,11.5625,12.4375,13.375,14.375,15.5,16.625,18.0625,19.5,21.1875,22.9375,25.125,27.4375,30.125,33.4375,37.1875,41.375,45.5625
ITL23__737134157_stage_1_seed_2_hof_0,ITL23,7.75,8.3125,8.9375,9.5625,10.3125,11.25,12.1875,13.1875,14.4375,15.8125,17.3125,18.875,20.75,22.6875,24.75,27.3125,29.6875,32.75,35.875,39.5625,43.375,48.125,53.3125,58.5
ITL23__737158657_stage_1_seed_1_hof_0,ITL23,7.75,8.25,8.8125,9.375,9.875,10.5,11,11.625,12.25,12.875,13.5,14.25,14.9375,15.6875,16.5,17.125,17.9375,18.875,19.875,20.75,21.875,23.125,24.25,25.5625
ITL23__737158657_stage_1_seed_2_hof_0,ITL23,26.3125,41.75,NaN,NaN,96.625,112.3125,127.5,NaN,158.25,175.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__737424303_stage_1_seed_1_hof_0,ITL23,10.0625,10.6875,11.3125,11.9375,12.625,13.375,14.3125,15.125,16.1875,17.125,18.25,19.3125,20.6875,21.9375,23.3125,24.9375,26.5,28.25,30,31.6875,34,36.1875,38.5,40.625
ITL23__737424303_stage_1_seed_2_hof_0,ITL23,14.0625,15.375,16.625,18.125,19.5625,21.0625,22.6875,24.375,26.0625,28,29.875,31.9375,34,36.3125,38.75,41.3125,44,46.9375,50.1875,54.1875,59.5625,66.5625,76.75,89.25
ITL23__737820466_stage_1_seed_1_hof_0,ITL23,3.8125,4.125,4.4375,4.9375,5.125,5.8125,6.25,6.875,7.4375,8,8.625,9.4375,10.1875,10.875,11.8125,12.625,13.375,13.8125,14.5,15.25,15.9375,16.6875,17.5,18.125
ITL23__737820466_stage_1_seed_2_hof_0,ITL23,3.3125,3.6875,3.9375,4.1875,4.5625,4.9375,5.1875,5.75,6.0625,6.625,7.0625,7.625,8.1875,8.6875,9.375,10,10.625,11.3125,11.9375,12.6875,13.125,13.8125,14.75,15.375
ITL23__737988336_stage_1_seed_1_hof_0,ITL23,8.5625,9.3125,10.1875,11.0625,11.9375,13,14.1875,15.375,16.6875,18.25,20,21.875,23.875,26.1875,28.8125,31.1875,34.25,37.875,41.875,46.6875,52.375,59,68.25,77.3125
ITL23__737988336_stage_1_seed_2_hof_0,ITL23,7.125,7.6875,8.1875,8.6875,9.125,9.6875,10.25,10.8125,11.375,12,12.5625,13.125,13.8125,14.3125,15.125,15.8125,16.5,17.25,18.125,18.875,20,21.125,22.125,23.375
ITL23__758285403_stage_1_seed_1_hof_0,ITL23,31.6875,35.1875,39.5625,44.375,48.0625,53,58.4375,64.8125,71.375,79.25,86.25,94.6875,104.3125,114.4375,125.9375,138.1875,151.25,166.875,186.5625,213.1875,NaN,NaN,NaN,NaN
ITL23__758285403_stage_1_seed_2_hof_0,ITL23,30.9375,33,34,38,40.5,44.3125,48,51.625,58.125,63.6875,70.5625,78.1875,89.5625,102.0625,119.3125,146.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__758286194_stage_1_seed_1_hof_0,ITL23,20.5625,21.6875,22.875,24.5625,25.875,26.9375,29.3125,31.125,33.75,36.4375,40.6875,45.75,52,58.6875,67.0625,79.3125,93.375,110.25,138.5,NaN,NaN,NaN,NaN,NaN
ITL23__758311336_stage_1_seed_1_hof_0,ITL23,6.25,7.6875,8.9375,10.3125,11.75,13.25,14.875,16.625,18.625,20.625,22.9375,25.375,28,30.9375,33.4375,36.625,39.9375,43.25,46.6875,50.8125,55.1875,60.375,66.625,71.9375
ITL23__758311336_stage_1_seed_2_hof_0,ITL23,6.5,7.4375,8.25,9.1875,10.1875,11.125,12.25,13.375,14.5,16.125,17.875,19.875,22,24.5625,27.5625,30.8125,34.4375,38.625,43,47.9375,52.9375,58.4375,63.5625,67.8125
ITL23__758319694_stage_1_seed_1_hof_0,ITL23,31.1875,33.4375,35.75,38.625,41.375,45,48.5,52.5625,57.4375,62.8125,68.5625,75.25,82.25,89.5625,97.0625,104.8125,112,119.375,126.4375,131.125,137.8125,145.6875,155.0625,163.625
ITL23__758319694_stage_1_seed_2_hof_0,ITL23,48.1875,51.8125,56,60.4375,64.9375,70.5625,76.25,82.1875,89.3125,96.5625,104.1875,112.125,121,130.3125,139.875,149.9375,160.625,172.5625,185.6875,201.25,221.1875,NaN,NaN,NaN
ITL23__758323401_stage_1_seed_1_hof_0,ITL23,29.5625,30.75,31.75,32.9375,34.9375,36.9375,38.8125,41,43.0625,45.9375,49.1875,51.8125,55.9375,59.625,64.1875,69.5625,74.875,81.875,90.375,99.5,111.375,125.125,140.625,156.6875
ITL23__758816993_stage_1_seed_1_hof_0,ITL23,19.3125,20.8125,22.8125,24.9375,27.1875,29.625,32,34.6875,37.1875,40.0625,42.9375,45.9375,48.875,52,55,58.0625,61.125,64.0625,66.9375,69.5625,72.25,75,78.0625,80.1875
ITL23__758816993_stage_1_seed_2_hof_0,ITL23,20.3125,22.125,24,25.9375,28,30,32.1875,34.5625,36.75,39.125,41.625,44,46.3125,48.75,51.125,53.25,55.75,57.875,60,62.1875,64.3125,66.75,69,71
ITL23__758967755_stage_1_seed_1_hof_0,ITL23,9.8125,10.5625,11.875,12.5625,13.4375,14.625,15.9375,17.6875,19.3125,21.375,23.375,25.8125,28.5625,31.1875,34.5625,38.125,42.0625,46.5,51,56.125,62,68.1875,75.3125,81.5625
ITL23__758967755_stage_1_seed_2_hof_0,ITL23,13.5625,14.75,15.9375,17.25,18.625,19.9375,21.375,22.9375,24.5,26.3125,28.3125,30.125,32.375,34.5625,36.9375,39.375,41.9375,44.5625,47.3125,50.0625,52.875,56.125,59.375,62.1875
ITL23__758996848_stage_1_seed_2_hof_0,ITL23,7.375,7.625,8.0625,8.5,9.0625,9.5625,10.125,10.8125,11.4375,12.375,13.0625,14,14.8125,16.0625,17.0625,18.3125,19.625,21.1875,23,25,27.375,30.25,33.5625,36.75
